customer_id,first_name,last_name,gender,dob,registration_date,phone,email,province,city
C000001,Phokin,Kanlayanamit,Male,10/30/1971,1/1/2022,799995582,phokin.kanlayanamit111447@gmail.com,Bangkok,Bangkok
C000002,Anan,Anantanakorn,Male,9/11/1983,1/1/2022,901952800,anan.anantanakorn444757@gmail.com,Pathum Thani,Pathum Thani
C000003,Kritsada,Namsai,Male,6/23/1994,1/1/2022,903127521,kritsada.namsai31660@gmail.com,Bangkok,Bangkok
C000004,Darunee,Limsakul,Female,12/31/1962,1/1/2022,629968984,darunee.limsakul822802@gmail.com,Nakhon Pathom,Nakhon Pathom
C000005,Malee,Manasak,Female,5/5/1989,1/1/2022,741654629,malee.manasak613156@gmail.com,Bangkok,Bangkok
C000006,Wutthipong,Namsai,Male,12/13/2001,1/1/2022,872537460,wutthipong.namsai896936@gmail.com,Pathum Thani,Pathum Thani
C000007,Tanapat,Buranapong,Male,8/14/1976,1/1/2022,680901877,tanapat.buranapong785520@gmail.com,Samut Prakan,Samut Prakan
C000008,Thidarat,Wongchai,Female,2/15/1964,1/1/2022,870410247,thidarat.wongchai39821@gmail.com,Bangkok,Bangkok
C000009,Waranya,Chalermchai,Female,2/8/2003,1/1/2022,780529018,waranya.chalermchai944780@gmail.com,Bangkok,Bangkok
C000010,Duanpen,Woramahasakdi,Female,7/1/1973,1/1/2022,980565398,duanpen.woramahasakdi82653@gmail.com,Samut Sakhon,Samut Sakhon
C000011,Sompong,Dechathon,Male,1/10/1978,1/1/2022,741528149,sompong.dechathon806304@gmail.com,Nakhon Pathom,Nakhon Pathom
C000012,Kanokwan,Kittisak,Female,3/10/2004,1/1/2022,900809353,kanokwan.kittisak350895@gmail.com,Samut Sakhon,Samut Sakhon
C000013,Thanakorn,Namsai,Male,10/31/1976,1/1/2022,777603657,thanakorn.namsai786876@gmail.com,Samut Prakan,Samut Prakan
C000014,Supaporn,Chaiprasit,Female,7/27/1973,1/1/2022,943440696,supaporn.chaiprasit782331@gmail.com,Bangkok,Bangkok
C000015,Yupin,Fuangthong,Female,6/18/2002,1/1/2022,617124333,yupin.fuangthong422376@gmail.com,Bangkok,Bangkok
C000016,Kittipong,Anantanakorn,Male,5/22/1993,1/1/2022,922864111,kittipong.anantanakorn924772@gmail.com,Samut Prakan,Samut Prakan
C000017,Thawatchai,Manasak,Male,3/24/1986,1/1/2022,712561035,thawatchai.manasak9584@gmail.com,Pathum Thani,Pathum Thani
C000018,Jirayu,Chantarang,Male,6/27/1971,1/1/2022,938012403,jirayu.chantarang882977@gmail.com,Nakhon Pathom,Nakhon Pathom
C000019,Darunee,Anantanakorn,Female,11/8/1965,1/1/2022,980301977,darunee.anantanakorn272675@gmail.com,Bangkok,Bangkok
C000020,Sudarat,Anantanakorn,Female,11/1/1989,1/1/2022,684889972,sudarat.anantanakorn633016@gmail.com,Samut Prakan,Samut Prakan
C000021,Tanapat,Limsakul,Male,6/13/1981,1/1/2022,956019060,tanapat.limsakul675491@gmail.com,Pathum Thani,Pathum Thani
C000022,Preecha,Kanlayanamit,Male,2/13/1963,1/2/2022,746497819,preecha.kanlayanamit531208@gmail.com,Samut Prakan,Samut Prakan
C000023,Sarawut,Sinsamut,Male,2/8/1967,1/2/2022,865145492,sarawut.sinsamut225279@gmail.com,Samut Prakan,Samut Prakan
C000024,Nattawut,Boonlert,Male,6/11/1958,1/2/2022,672655337,nattawut.boonlert322294@gmail.com,Nakhon Pathom,Nakhon Pathom
C000025,Kritsada,Suwanrat,Male,5/21/1983,1/2/2022,923472928,kritsada.suwanrat757602@gmail.com,Samut Sakhon,Samut Sakhon
